資料日期,基金代碼,基金ISIN_CODE,基金名稱,基金種類,基金細項,投資區域,投資細項,計價幣別,基金總代理名稱,境外基金機構,淨值日期,最新淨值
20241207,BLKMIAUA,LU0248272758,貝萊德印度基金 A2 美元,股票型,一般型,單一國家,印度,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,57.71
20241207,BLKMJOAA,LU0006061252,貝萊德日本特別時機基金 A2 美元,股票型,中小型,單一國家,日本,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,76.5
20241207,BLKMJVAH,LU0940328577,貝萊德日本靈活股票基金 Hedged A2 美元,股票型,一般型,單一國家,日本,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,33.21
20241207,BLKMJVAU,LU0212924517,貝萊德日本靈活股票基金 A2 美元,股票型,一般型,單一國家,日本,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,20.03
20241207,BLKMLAPC,LU0147409378,貝萊德拉丁美洲基金 C2 美元,股票型,一般型,區域,新興拉丁美洲,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,41
20241207,BLKMLBIU,LU1495982867,貝萊德新興市場當地債券基金 I5 美元,固定收益型,新興市場債,全球,新興市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,7.34
20241207,BLKMMXAA,LU0171277485,貝萊德歐元市場基金 A2 美元,股票型,一般型,區域,已開發歐洲,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,48.07
20241207,BLKMNECC,LU0147411861,貝萊德永續能源基金 C2 美元,股票型,替代能源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,12.35
20241207,BLKMNOAA,LU0006061336,貝萊德美國中型企業價值基金 A2 美元,股票型,中小型,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,392.58
20241207,BLKMNXAA,LU0124384867,貝萊德永續能源基金 A2 美元,股票型,替代能源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,16.46
20241207,BLKMUBAA,LU0006061385,貝萊德環球政府債券基金 A2 美元,固定收益型,政府債,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,29.95
